Jobs_per_ 1Minute,Jobs_per_ 5 Minutes,Jobs_per_ 15Minutes,Mem capacity,Disk_capacity_GB,Num_of_CPU_Cores,CPU_speed_per_Core,Avg_Recieve_Kbps,Avg_Transmit_Kbps,Class_Name
12.636,12.727,12.545,12,128.72872,6,1,31.248,31.248,'Low'
7.2,8.4,8.8,12,128.72872,6,1,31.248,31.248,'Very Low'
6.364,7.182,7.545,12,128.72872,6,1,31.248,31.248,'Very Low'
3.9,4.8,5.6,12,128.72872,6,1,31.248,31.248,'Very Low'
3.182,4.545,5.273,12,128.72872,6,1,31.248,31.248,'Very Low'
3.818,4.636,5.182,12,128.72872,6,1,31.248,31.248,'Very Low'
3.1,4.3,5.2,12,128.72872,6,1,31.248,31.248,'Very Low'
3.818,4.636,5.364,12,128.72872,6,1,31.248,31.248,'Very Low'
3.818,5.0,6.091,12,128.72872,6,1,31.248,31.248,'Very Low'
7.7,10.5,13.4,12,128.72872,6,1,31.248,31.248,'Very Low'
4.6,5.3,6.1,12,128.72872,6,1,31.248,31.248,'Very Low'
4.091,5.636,6.273,12,128.72872,6,1,31.248,31.248,'Very Low'
4.273,5.455,6.091,12,128.72872,6,1,31.248,31.248,'Very Low'
3.5,4.9,6.0,12,128.72872,6,1,31.248,31.248,'Very Low'
5.636,6.818,7.727,12,128.72872,6,1,31.248,31.248,'Very Low'
6.455,6.818,7.455,12,128.72872,6,1,31.248,31.248,'Very Low'
4.7,6.5,6.9,12,128.72872,6,1,31.248,31.248,'Very Low'
6.727,6.455,7.0,12,128.72872,6,1,31.248,31.248,'Very Low'
4.2,5.7,6.6,12,128.72872,6,1,31.248,31.248,'Very Low'
5.545,6.545,7.182,12,128.72872,6,1,31.248,31.248,'Very Low'
6.6,7.0,7.5,12,128.72872,6,1,31.248,31.248,'Very Low'
4.364,6.273,7.0,12,128.72872,6,1,31.248,31.248,'Very Low'
